year,plant,species,site,habitat,treatment,survival,height,length,width,green_lvs,scape,new_lvs,biomass,canopy,lf_long,comments
1981,32,2,2,1,NA,1,54,71,55,3,0,NA,760,NA,NA,NA
1981,33,1,1,1,NA,1,102,134,130,9,1,NA,4484,NA,NA,NA
1981,33,2,2,1,NA,1,80,137,95,4,0,NA,1521,NA,NA,NA
1981,34,1,1,1,NA,1,73,79,78,8,0,NA,2470,NA,NA,NA
1981,34,2,2,1,NA,1,79,81,63,3,0,NA,846,NA,NA,NA
1981,35,1,1,1,NA,1,71,79,65,6,0,NA,1135,NA,NA,NA
1981,35,2,2,1,NA,1,64,94,44,2,0,NA,310,NA,NA,NA
1981,36,1,1,1,NA,1,55,69,69,6,0,NA,1179,NA,NA,NA
1981,36,2,2,1,NA,1,70,79,78,2,0,NA,674,NA,NA,NA
1981,37,1,1,1,NA,1,49,84,74,5,0,NA,810,NA,NA,NA
1981,37,2,2,1,NA,1,59,96,64,3,0,NA,857,NA,NA,NA
1981,38,1,1,1,NA,1,64,77,60,5,0,NA,709,NA,NA,NA
1981,38,2,2,1,NA,1,72,130,79,3,0,NA,1017,NA,NA,NA
1981,39,1,1,1,NA,1,56,79,70,6,0,NA,1190,NA,NA,NA
1981,39,2,2,1,NA,1,79,93,90,3,0,NA,1135,NA,NA,NA
1981,40,1,1,1,NA,1,77,81,78,8,1,NA,2470,NA,NA,NA
1981,40,2,2,1,NA,1,78,90,90,3,0,NA,1135,NA,NA,NA
1981,41,1,1,1,NA,1,54,58,51,6,0,NA,972,NA,NA,NA
1981,41,2,2,1,NA,1,79,78,73,2,0,NA,621,NA,NA,NA
1981,42,1,1,1,NA,1,46,51,34,4,0,NA,296,NA,NA,NA
1981,42,2,2,1,NA,1,66,102,66,2,0,NA,546,NA,NA,NA
1981,43,1,1,1,NA,1,76,99,88,6,0,NA,1376,NA,NA,NA
1981,43,2,2,1,NA,1,105,130,96,3,0,NA,1199,NA,NA,NA
1981,44,1,1,1,NA,1,70,88,87,5,0,NA,898,NA,NA,NA
1981,44,2,2,1,NA,1,100,121,85,3,0,NA,1082,NA,NA,NA
1981,45,1,1,1,NA,1,70,89,71,7,1,NA,1711,NA,NA,NA
1981,45,2,2,1,NA,1,82,123,68,3,0,NA,899,NA,NA,NA
1981,46,1,1,1,NA,1,67,87,73,6,0,NA,1222,NA,NA,NA
1981,46,2,2,1,NA,1,76,89,85,2,0,NA,749,NA,NA,NA
1981,47,1,1,1,NA,1,70,88,87,5,1,NA,898,NA,NA,NA
1981,47,2,2,1,NA,1,55,84,78,3,0,NA,1007,NA,NA,NA
1981,48,1,1,1,NA,1,59,66,51,5,0,NA,639,NA,NA,NA
1981,48,2,2,1,NA,1,63,84,77,2,0,NA,663,NA,NA,NA
1981,49,1,1,1,NA,1,84,110,95,6,0,NA,1445,NA,NA,NA
1981,49,2,2,1,NA,1,88,120,87,2,0,NA,770,NA,NA,NA
1981,50,1,1,1,NA,1,71,90,76,7,0,NA,1787,NA,NA,NA
1981,50,2,2,1,NA,1,61,77,63,3,0,NA,846,NA,NA,NA
1981,51,1,5,2,NA,1,64,67,58,4,0,NA,415,NA,NA,NA
1981,51,2,4,2,NA,1,60,80,64,4,0,NA,1189,NA,NA,NA
1981,52,1,5,2,NA,1,54,46,44,5,0,NA,582,NA,NA,NA
1981,52,2,4,2,NA,1,77,129,108,4,0,NA,1660,NA,NA,NA
1981,53,1,5,2,NA,1,75,82,49,7,2,NA,1351,NA,NA,NA
1981,53,2,4,2,NA,1,73,143,91,4,0,NA,1478,NA,NA,NA
1981,54,1,5,2,NA,1,72,79,48,7,0,NA,1333,NA,NA,NA
1981,54,2,4,2,NA,1,101,165,115,4,0,NA,1735,NA,NA,NA
1981,55,1,5,2,NA,1,67,97,84,8,1,NA,2589,NA,NA,NA
1981,55,2,4,2,NA,1,80,156,101,6,0,NA,2250,NA,NA,NA
1981,56,1,5,2,NA,1,74,82,74,9,0,NA,3132,NA,NA,NA
1981,56,2,4,2,NA,1,69,107,65,4,0,NA,1200,NA,NA,NA
1981,57,1,5,2,NA,1,70,70,58,6,0,NA,1055,NA,NA,NA
1981,57,2,4,2,NA,1,66,108,57,4,0,NA,1114,NA,NA,NA
1981,58,1,5,2,NA,1,84,110,69,9,0,NA,2995,NA,NA,NA
1981,58,2,4,2,NA,1,72,137,49,4,0,NA,1028,NA,NA,NA
1981,59,1,5,2,NA,1,86,92,89,10,1,NA,4488,NA,NA,NA
1981,59,2,4,2,NA,1,71,90,58,3,0,NA,792,NA,NA,NA
1981,60,1,5,2,NA,1,58,53,42,5,0,NA,565,NA,NA,NA
1981,60,2,4,2,NA,1,75,162,92,4,0,NA,1489,NA,NA,NA
1981,61,1,2,1,NA,1,70,83,66,5,0,NA,753,NA,NA,NA
1981,61,2,2,2,NA,1,91,129,100,3,0,NA,1242,NA,NA,NA
1981,62,1,2,1,NA,1,92,116,109,8,0,NA,3057,NA,NA,NA
1981,62,2,2,2,NA,1,71,68,57,1,0,NA,117,NA,NA,NA
1981,63,1,2,1,NA,1,64,78,57,4,0,NA,411,NA,NA,NA
1981,63,2,2,2,NA,1,86,118,86,3,0,NA,1092,NA,NA,NA
1981,64,1,2,1,NA,1,52,54,46,4,0,NA,358,NA,NA,NA
1981,64,2,2,2,NA,1,40,74,65,2,0,NA,535,NA,NA,NA
1981,65,1,2,1,NA,1,77,75,47,4,0,NA,363,NA,NA,NA
1981,65,2,2,2,NA,1,70,80,66,2,0,NA,546,NA,NA,NA
1981,66,1,2,1,NA,1,68,82,63,6,0,NA,1112,NA,NA,NA
1981,66,2,2,2,NA,1,54,62,34,2,0,NA,203,NA,NA,NA
1981,67,1,2,1,NA,1,61,70,53,5,0,NA,655,NA,NA,NA
1981,67,2,2,2,NA,1,48,40,31,1,0,NA,-162,NA,NA,NA
1981,68,1,2,1,NA,1,72,77,69,5,0,NA,775,NA,NA,NA
1981,68,2,2,2,NA,1,75,72,63,3,0,NA,846,NA,NA,NA
1981,69,1,2,1,NA,1,82,99,53,5,0,NA,655,NA,NA,NA
1981,69,2,2,2,NA,1,82,85,85,2,0,NA,749,NA,NA,NA
1981,70,1,2,1,NA,1,69,62,41,3,0,NA,172,NA,NA,NA
1981,70,2,2,2,NA,1,67,68,67,2,0,NA,556,NA,NA,NA
1981,71,1,2,1,NA,1,77,79,69,6,0,NA,1179,NA,NA,NA
1981,71,2,2,2,NA,1,91,82,67,2,0,NA,556,NA,NA,NA
1981,72,1,2,1,NA,1,52,57,46,4,0,NA,358,NA,NA,NA
1981,72,2,2,2,NA,1,92,89,73,2,0,NA,621,NA,NA,NA
1981,73,1,2,1,NA,1,76,76,49,5,0,NA,623,NA,NA,NA
1981,73,2,2,2,NA,1,66,58,54,2,0,NA,417,NA,NA,NA
1981,74,1,2,1,NA,1,76,72,70,4,0,NA,468,NA,NA,NA
1981,74,2,2,2,NA,1,85,86,49,2,0,NA,363,NA,NA,NA
1981,75,1,2,1,NA,1,46,56,50,4,0,NA,378,NA,NA,NA
1981,75,2,2,2,NA,1,55,60,30,1,0,NA,-173,NA,NA,NA
1981,76,1,2,1,NA,1,63,73,48,4,0,NA,368,NA,NA,NA
1981,76,2,2,2,NA,1,58,73,51,2,0,NA,385,NA,NA,NA
1981,77,1,2,1,NA,1,51,51,48,4,0,NA,368,NA,NA,NA
1981,77,2,2,2,NA,1,63,79,40,2,0,NA,267,NA,NA,NA
1981,78,1,2,1,NA,1,60,61,58,4,0,NA,415,NA,NA,NA
1981,78,2,2,2,NA,1,50,70,39,1,0,NA,-76,NA,NA,NA
1981,79,1,2,1,NA,1,86,90,66,6,0,NA,1146,NA,NA,NA
1981,79,2,2,2,NA,1,48,68,44,2,0,NA,310,NA,NA,NA
1981,80,1,2,1,NA,1,64,74,63,5,0,NA,731,NA,NA,NA
1981,80,2,2,2,NA,1,60,80,73,2,0,NA,621,NA,NA,NA
1981,81,1,3,1,NA,1,95,135,101,8,0,NA,2912,NA,NA,NA
1981,81,2,5,2,NA,1,85,137,123,8,0,NA,3151,NA,NA,NA
1981,82,1,3,1,NA,1,91,140,125,9,0,NA,4373,NA,NA,NA
1981,82,2,5,2,NA,1,85,114,108,4,2,NA,1660,NA,NA,NA
1981,83,1,3,1,NA,1,93,156,109,8,0,NA,3057,NA,NA,NA
1981,83,2,5,2,NA,1,64,142,50,4,0,NA,1039,NA,NA,NA
1981,84,1,3,1,NA,1,86,129,104,6,0,NA,1531,NA,NA,NA
1981,84,2,5,2,NA,1,73,126,92,5,0,NA,1822,NA,NA,NA
1981,85,1,3,1,NA,1,49,81,77,7,0,NA,1802,NA,NA,NA
1981,85,2,5,2,NA,1,88,156,128,6,1,NA,2540,NA,NA,NA
1981,86,1,3,1,NA,1,74,122,91,9,0,NA,3573,NA,NA,NA
1981,86,2,5,2,NA,1,76,109,108,7,0,NA,2658,NA,NA,NA
1981,87,1,3,1,NA,1,72,111,95,9,0,NA,3672,NA,NA,NA
1981,87,2,5,2,NA,1,62,82,69,3,0,NA,910,NA,NA,NA
1981,88,1,3,1,NA,1,62,51,49,4,0,NA,373,NA,NA,NA
1981,88,2,5,2,NA,1,66,101,81,4,0,NA,1371,NA,NA,NA
1981,89,1,3,1,NA,1,45,78,73,6,0,NA,1222,NA,NA,NA
1981,89,2,5,2,NA,1,81,173,167,6,1,NA,2957,NA,NA,NA
1981,90,1,3,1,NA,1,50,67,65,7,0,NA,1618,NA,NA,NA
1981,90,2,5,2,NA,1,78,140,88,6,0,NA,2111,NA,NA,NA
1981,91,1,2,2,NA,1,77,86,53,6,0,NA,996,NA,NA,NA
1981,91,2,5,2,NA,1,85,104,69,4,0,NA,1243,NA,NA,NA
1981,92,1,2,2,NA,1,67,59,47,4,0,NA,363,NA,NA,NA
1981,92,2,5,2,NA,1,67,77,29,2,0,NA,149,NA,NA,NA
1981,93,1,2,2,NA,1,102,110,61,5,0,NA,716,NA,NA,NA
1981,93,2,5,2,NA,1,71,137,113,5,0,NA,2046,NA,NA,NA
1981,94,1,2,2,NA,1,96,115,68,6,0,NA,1168,NA,NA,NA
1981,94,2,5,2,NA,1,85,124,124,7,1,NA,2829,NA,NA,NA
1981,95,1,2,2,NA,1,95,98,59,5,0,NA,701,NA,NA,NA
1981,95,2,5,2,NA,1,78,108,80,4,2,NA,1361,NA,NA,NA
1981,96,1,2,2,NA,1,90,76,75,5,0,NA,817,NA,NA,NA
1981,96,2,5,2,NA,1,74,147,87,4,1,NA,1435,NA,NA,NA
1981,97,1,2,2,NA,1,80,80,71,5,0,NA,789,NA,NA,NA
1981,97,2,5,2,NA,1,78,154,126,5,0,NA,2186,NA,NA,NA
1981,98,1,2,2,NA,1,62,68,55,3,0,NA,207,NA,NA,NA
1981,98,2,5,2,NA,1,88,162,92,5,1,NA,1822,NA,NA,NA
1981,99,1,2,2,NA,1,72,73,69,4,0,NA,464,NA,NA,NA
1981,99,2,5,2,NA,1,88,154,128,4,0,NA,1875,NA,NA,NA
1981,100,1,2,2,NA,1,74,61,39,5,0,NA,539,NA,NA,NA
1981,100,2,5,2,NA,1,67,85,76,4,0,NA,1318,NA,NA,NA
1981,101,1,2,2,NA,1,84,102,66,5,0,NA,753,NA,NA,NA
1981,101,2,3,1,NA,1,83,181,110,6,0,NA,2347,NA,NA,NA
1981,102,1,2,2,NA,1,90,108,60,5,0,NA,709,NA,NA,NA
1981,102,2,3,1,NA,1,65,94,60,3,0,NA,814,NA,NA,NA
1981,103,1,2,2,NA,1,76,77,60,5,0,NA,709,NA,NA,NA
1981,103,2,3,1,NA,1,87,194,137,5,0,NA,2303,NA,NA,NA
1981,104,1,2,2,NA,1,78,71,49,5,0,NA,623,NA,NA,NA
1981,104,2,3,1,NA,1,90,154,66,3,0,NA,878,NA,NA,NA
1981,105,1,2,2,NA,1,79,87,69,5,0,NA,775,NA,NA,NA
1981,105,2,3,1,NA,1,60,83,57,3,0,NA,782,NA,NA,NA
1981,106,1,2,2,NA,1,76,80,71,6,0,NA,1200,NA,NA,NA
1981,106,2,3,1,NA,1,69,116,94,4,0,NA,1510,NA,NA,NA
1981,107,1,2,2,NA,1,82,94,73,6,0,NA,1222,NA,NA,NA
1981,107,2,3,1,NA,1,69,134,66,4,0,NA,1211,NA,NA,NA
1981,108,1,2,2,NA,1,67,78,66,6,0,NA,1146,NA,NA,NA
1981,108,2,3,1,NA,1,69,94,72,3,0,NA,942,NA,NA,NA
1981,109,1,2,2,NA,1,69,75,64,5,0,NA,739,NA,NA,NA
1981,109,2,3,1,NA,1,64,94,81,3,0,NA,1039,NA,NA,NA
1981,110,1,2,2,NA,1,72,72,69,7,0,NA,1680,NA,NA,NA
1981,110,2,3,1,NA,1,72,119,79,3,0,NA,1017,NA,NA,NA
1981,111,1,3,1,NA,1,64,96,93,8,0,NA,2763,NA,NA,NA
1981,111,2,3,1,NA,1,71,112,110,4,0,NA,1682,NA,NA,NA
1981,112,1,3,1,NA,1,44,73,52,6,0,NA,984,NA,NA,NA
1981,112,2,3,1,NA,1,83,137,98,4,0,NA,1553,NA,NA,NA
1981,113,1,3,1,NA,1,76,103,102,9,0,NA,3842,NA,NA,NA
1981,113,2,3,1,NA,1,63,120,101,4,0,NA,1585,NA,NA,NA
1981,114,1,3,1,NA,1,59,72,56,6,0,NA,1032,NA,NA,NA
1981,114,2,3,1,NA,1,69,122,64,3,0,NA,857,NA,NA,NA
1981,115,1,3,1,NA,1,56,90,64,8,0,NA,2177,NA,NA,NA
1981,115,2,3,1,NA,1,88,142,121,6,0,NA,2465,NA,NA,NA
1981,116,1,3,1,NA,1,68,107,77,7,0,NA,1802,NA,NA,NA
1981,116,2,3,1,NA,1,99,176,136,5,0,NA,2293,NA,NA,NA
1981,117,1,3,1,NA,1,46,61,58,4,0,NA,415,NA,NA,NA
1981,117,2,3,1,NA,1,75,110,95,4,0,NA,1521,NA,NA,NA
1981,118,1,3,1,NA,1,51,96,70,6,0,NA,1190,NA,NA,NA
1981,118,2,3,1,NA,1,94,102,65,3,0,NA,867,NA,NA,NA
1981,119,1,3,1,NA,1,69,120,79,9,0,NA,3265,NA,NA,NA
1981,119,2,3,1,NA,1,72,108,96,3,0,NA,1199,NA,NA,NA
1981,120,1,3,1,NA,1,63,115,98,10,0,NA,4772,NA,NA,NA
1981,120,2,3,1,NA,1,59,83,75,5,0,NA,1639,NA,NA,NA
1982,1,1,4,2,NA,1,61,75,71,6,0,4,1200,NA,NA,NA
1982,1,2,1,1,NA,1,81,141,131,4,1,2,1907,NA,NA,NA
1982,2,1,4,2,NA,1,74,90,63,6,1,4,1112,NA,NA,NA
1982,2,2,1,1,NA,1,65,121,82,4,0,1,1382,NA,NA,NA
1982,3,1,4,2,NA,1,88,102,68,7,1,4,1665,NA,NA,NA
1982,3,2,1,1,NA,1,78,156,120,4,0,3,1789,NA,NA,NA
1982,4,1,4,2,NA,1,61,59,55,8,0,4,1977,NA,NA,NA
1982,4,2,1,1,NA,1,73,111,85,3,1,2,1082,NA,NA,NA
1982,5,1,4,2,NA,1,70,99,87,6,0,4,1366,NA,NA,NA
1982,5,2,1,1,NA,1,63,125,76,5,0,2,1650,NA,NA,NA
1982,6,1,4,2,NA,1,91,129,64,10,2,7,3638,NA,NA,NA
1982,6,2,1,1,NA,1,52,86,76,3,0,1,985,NA,NA,NA
1982,7,1,4,2,NA,1,91,113,108,10,1,6,5077,NA,NA,NA
1982,7,2,1,1,NA,1,53,116,78,3,0,1,1007,NA,NA,NA
1982,8,1,4,2,NA,1,76,93,53,8,1,4,1931,NA,NA,NA
1982,8,2,1,1,NA,1,59,117,92,4,0,2,1489,NA,NA,NA
1982,9,1,4,2,NA,1,76,113,63,8,0,5,2156,NA,NA,NA
1982,9,2,1,1,NA,1,51,103,99,6,0,2,2229,NA,NA,NA
1982,10,1,4,2,NA,1,90,99,93,9,1,5,3622,NA,NA,NA
1982,10,2,1,1,NA,1,64,122,88,3,1,1,1114,NA,NA,NA
1982,11,1,4,2,NA,1,87,124,95,7,0,4,2060,NA,NA,NA
1982,11,2,1,1,NA,1,65,134,78,5,2,2,1672,NA,NA,NA
1982,12,1,4,2,NA,1,130,124,122,9,2,4,4306,NA,NA,NA
1982,12,2,1,1,NA,1,65,76,68,3,2,3,899,NA,NA,NA
1982,13,1,4,2,NA,1,67,86,52,5,2,2,647,NA,NA,NA
1982,13,2,1,1,NA,1,59,111,108,4,0,2,1660,NA,NA,NA
1982,14,1,4,2,NA,1,81,88,82,9,0,5,3343,NA,NA,NA
1982,14,2,1,1,NA,1,66,105,102,4,3,2,1596,NA,NA,NA
1982,15,1,4,2,NA,1,87,86,51,7,0,3,1386,NA,NA,NA
1982,15,2,1,1,NA,1,76,148,103,4,0,1,1607,NA,NA,NA
1982,16,1,4,2,NA,1,86,113,106,9,0,4,3937,NA,NA,NA
1982,16,2,1,1,NA,1,57,106,87,5,2,1,1768,NA,NA,NA
1982,17,1,4,2,NA,1,78,95,75,8,1,4,2409,NA,NA,NA
1982,17,2,1,1,NA,1,56,90,82,5,2,2,1714,NA,NA,NA
1982,18,1,4,2,NA,1,94,117,95,11,1,4,5825,NA,NA,NA
1982,18,2,1,1,NA,1,86,142,124,5,3,2,2164,NA,NA,NA
1982,19,1,4,2,NA,1,117,148,80,10,2,5,4194,NA,NA,NA
1982,19,2,1,1,NA,1,52,93,78,5,2,2,1672,NA,NA,NA
1982,20,1,4,2,NA,1,97,100,86,10,1,3,4391,NA,NA,NA
1982,20,2,1,1,NA,1,50,92,81,3,0,1,1039,NA,NA,NA
1982,21,1,5,2,NA,1,83,105,102,11,1,6,6095,NA,NA,NA
1982,21,2,4,2,NA,1,84,164,133,5,2,3,2261,NA,NA,NA
1982,22,1,5,2,NA,1,85,130,74,10,0,5,3990,NA,NA,NA
1982,22,2,4,2,NA,1,71,142,51,4,1,3,1050,NA,NA,NA
1982,23,1,5,2,NA,1,90,119,87,10,0,6,4424,NA,NA,NA
1982,23,2,4,2,NA,1,77,129,97,4,0,2,1543,NA,NA,NA
1982,24,1,5,2,NA,1,49,59,46,6,0,3,910,NA,NA,NA
1982,24,2,4,2,NA,1,69,120,86,4,0,3,1425,NA,NA,NA
1982,25,1,5,2,NA,1,58,47,38,6,0,4,806,NA,NA,NA
1982,25,2,4,2,NA,1,92,163,132,6,3,2,2582,NA,NA,NA
1982,26,1,5,2,NA,1,77,91,75,10,0,5,4025,NA,NA,NA
1982,26,2,4,2,NA,1,79,140,137,5,2,2,2303,NA,NA,NA
1982,27,1,5,2,NA,1,69,99,76,12,1,5,6173,NA,NA,NA
1982,27,2,4,2,NA,1,83,151,91,7,1,4,2476,NA,NA,NA
1982,28,1,5,2,NA,1,73,82,65,8,1,5,2199,NA,NA,NA
1982,28,2,4,2,NA,1,79,167,125,5,2,2,2175,NA,NA,NA
1982,29,1,5,2,NA,1,64,96,80,7,0,6,1846,NA,NA,NA
1982,29,2,4,2,NA,1,95,147,104,6,2,3,2283,NA,NA,NA
1982,30,1,5,2,NA,1,54,70,55,6,0,4,1020,NA,NA,NA
1982,30,2,4,2,NA,1,83,181,128,6,3,3,2540,NA,NA,NA
1982,31,1,1,1,NA,1,94,156,150,12,2,6,9519,NA,NA,NA
1982,31,2,2,1,NA,1,54,104,79,5,0,3,1682,NA,NA,NA
1982,32,1,1,1,NA,1,73,122,107,10,0,5,5047,NA,NA,NA
1982,32,2,2,1,NA,1,68,106,104,5,0,3,1950,NA,NA,NA
1982,33,1,1,1,NA,1,99,172,140,12,2,6,9110,NA,NA,NA
1982,33,2,2,1,NA,1,85,156,134,6,6,3,2604,NA,NA,NA
1982,34,1,1,1,NA,1,68,106,98,11,1,5,5942,NA,NA,NA
1982,34,2,2,1,NA,1,78,134,75,5,3,2,1639,NA,NA,NA
1982,35,1,1,1,NA,1,65,94,89,9,1,5,3522,NA,NA,NA
1982,35,2,2,1,NA,1,61,115,87,3,1,2,1103,NA,NA,NA
1982,36,1,1,1,NA,1,58,87,86,9,1,4,3446,NA,NA,NA
1982,36,2,2,1,NA,1,70,96,87,5,0,3,1768,NA,NA,NA
1982,37,1,1,1,NA,1,63,93,88,6,0,3,1376,NA,NA,NA
1982,37,2,2,1,NA,1,63,124,98,4,2,2,1553,NA,NA,NA
1982,38,1,1,1,NA,1,63,109,83,6,1,3,1326,NA,NA,NA
1982,38,2,2,1,NA,1,65,146,113,6,2,3,2379,NA,NA,NA
1982,39,1,1,1,NA,1,61,95,78,7,0,4,1817,NA,NA,NA
1982,39,2,2,1,NA,1,81,123,103,6,1,3,2272,NA,NA,NA
1982,40,1,1,1,NA,1,74,125,108,10,0,6,5077,NA,NA,NA
1982,40,2,2,1,NA,1,68,135,106,4,2,2,1639,NA,NA,NA
1982,41,1,1,1,NA,1,54,94,60,7,0,3,1537,NA,NA,NA
1982,41,2,2,1,NA,1,86,146,95,5,1,3,1854,NA,NA,NA
1982,42,1,1,1,NA,1,47,58,54,7,0,3,1437,NA,NA,NA
1982,42,2,2,1,NA,1,70,134,86,4,2,2,1425,NA,NA,NA
1982,43,1,1,1,NA,1,82,139,100,8,1,5,2893,NA,NA,NA
1982,43,2,2,1,NA,1,97,182,96,5,4,3,1864,NA,NA,NA
1982,44,1,1,1,NA,1,65,122,101,8,0,4,2912,NA,NA,NA
1982,44,2,2,1,NA,1,95,137,106,5,3,3,1971,NA,NA,NA
1982,45,1,1,1,NA,1,75,102,85,9,1,4,3421,NA,NA,NA
1982,45,2,2,1,NA,1,63,113,99,5,4,3,1896,NA,NA,NA
1982,46,1,1,1,NA,1,63,99,73,6,1,3,1222,NA,NA,NA
1982,46,2,2,1,NA,1,90,146,100,4,1,2,1575,NA,NA,NA
1982,47,1,1,1,NA,1,69,134,113,7,1,3,2301,NA,NA,NA
1982,47,2,2,1,NA,1,70,107,96,5,2,3,1864,NA,NA,NA
1982,48,1,1,1,NA,1,53,92,81,6,0,4,1305,NA,NA,NA
1982,48,2,2,1,NA,1,68,115,79,5,0,3,1682,NA,NA,NA
1982,49,1,1,1,NA,1,73,134,127,9,1,4,4418,NA,NA,NA
1982,49,2,2,1,NA,1,88,140,124,5,1,3,2164,NA,NA,NA
1982,50,1,1,1,NA,1,67,122,112,10,1,4,5196,NA,NA,NA
1982,50,2,2,1,NA,1,60,110,106,5,0,3,1971,NA,NA,NA
1982,51,1,5,2,NA,1,59,82,52,6,0,3,984,NA,NA,NA
1982,51,2,4,2,NA,1,72,96,71,3,0,2,932,NA,NA,NA
1982,52,1,5,2,NA,1,60,52,26,3,0,2,129,NA,NA,NA
1982,52,2,4,2,NA,1,84,140,127,6,0,2,2529,NA,NA,NA
